GL čustvo,Prevod,Valenca,Vzburjenje
amusement,zabavnost,0.8,0.63375
anger,jeza,0.11625,0.90875
anxiety,tesnoba,0.05,0.78375
confusion,zmeda,0.30875,0.35875
contempt,prezir,0.29125,0.39125
disgust,gnus,0.125,0.50875
embarrassment,zadrega,0.1,0.69125
fear,strah,0.09125,0.90875
guilt,krivda,0.06625,0.55875
happiness,sreča,0.94125,0.69125
interest,zanimanje,0.78375,0.55
joy,veselje,0.93375,0.80875
love,ljubezen,0.96625,0.78375
pride,ponos,0.775,0.55875
sadness,žalost,0.16625,0.525
shame,krivda,0.075,0.60875
surprise,presenečenje,0.60875,0.83375
unhappiness,nesreča,0.2,0.35875
