klip,original method,šifra,amusement,anger,anxiety,confusion,contempt,disgust,embarrassment,fear,guilt,happiness,interest,joy,love,pride,sadness,shame,surprise,unhappiness,Ste posnetek že videli?,Ste imeli zaprte oči (da/ne),Valenca,*Other emotions
ples,yellow,11,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,,,,
ples,yellow,12,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,,,,
ples,yellow,13,0.375,0,0,0,0,0,0,0,0,0.125,0.625,0,0,0.625,0,0,0,0,,,,
ples,yellow,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ples,yellow,15,0.625,0,0,0,0,0,0,0,0,0.375,0.875,0.125,0.125,0.875,0,0,0.125,0,,,,
hodnik,yellow,11,0,0.5,0.5,0,0.125,0.375,0.625,0.5,0.375,0,0,0,0,0,0.375,0.5,0.125,0,,,,
hodnik,yellow,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
hodnik,yellow,13,0,0,0,0.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.25,,,,
hodnik,yellow,14,0,0.25,0.625,0.25,0.25,0.75,0.875,0.25,0.875,0,0,0,0,0,0.75,0.875,0,0.375,,,,
hodnik,yellow,15,0,0,0,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.25,,,,
restavracija,yellow,11,0.5,0,0,0,0,0,0,0,0,0.875,0.25,0.875,0.875,0.25,0,0,0,0,,,,
restavracija,yellow,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
restavracija,yellow,13,0,0,0.125,0.375,0.375,0.375,0.25,0,0.25,0,0,0,0,0,0.5,0.25,0.25,0.25,,,,
restavracija,yellow,14,0,0,0,0.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.25,,,,
restavracija,yellow,15,0,0,0,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.25,,,,
ples,blue,21,0.625,0,0.25,0,0,0.25,0,0,0,0.625,0,0.75,0,0,0.375,0,0,0.375,Y,N,5,annoyance (2)
ples,blue,22,0.5,0,0,0,0,0,0,0,0,0.75,0.375,0.875,0,0,0,0,0,0,N,N,6,/
ples,blue,23,0.125,0.625,0,0.5,0,0.25,0,0.125,0,0,0,0,0,0,0.625,0,0.625,1,N,N,3,boredom (8)
ples,blue,24,0.5,0,0.125,0,0,0,0,0.375,0,0.75,0.625,0.875,0.25,0,0.625,0,0,0,Y,N,6,/
ples,blue,25,0.25,0,0,0,0,0,0,0,0,0.5,0.5,0.75,0,0,0,0,0,0,N,N,7,/
hodnik,blue,21,0,0,0.75,0,0,0,0,0.375,0,0,0.625,0,0,0,0,0,0,0.375,N,N,0,/
hodnik,blue,22,0,0,0.25,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,N,N,1,/
hodnik,blue,23,0.25,0,0.875,0.375,0,0.5,0,0.875,0.625,0,1,0,0,0,0.375,0,0.625,0.75,N,N,5,/
hodnik,blue,24,0.125,0,0.625,0.25,0,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,N,N,1,
hodnik,blue,25,0,0,0.5,0,0,0,0,0.25,0,0,0.375,0,0,0,0,0,0,0,N,N,1,
restavracija,blue,21,0.875,0.125,0,0,0.375,0.5,0.25,0,0,0.125,0.375,0.125,0,0,0,0.25,0,0,N,N,3,annoyance (4)
restavracija,blue,22,0.625,0,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0.25,0,N,N,4,/
restavracija,blue,23,0.625,0.5,0.125,0,0.625,0.875,0.625,0,0.75,0.25,0.125,0.25,0,0.375,0,0.75,0.625,0.75,N,N,5,
restavracija,blue,24,0.375,0.375,0,0,0.625,0,0.125,0,0,0.75,0.625,0.625,0,0.625,0,0,0.375,0,N,N,6,/
restavracija,blue,25,0.5,0,0,0,0.25,0,0.125,0,0,0,0.5,0,0,0,0,0,0,0,N,N,3,
ples,red,31,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.125,0,0.375,0,0,0.125,,,,
ples,red,32,0,0,0,0,0,0,0,0,0,0,0,0.25,0.375,0,0.25,0,0,0,,,,
ples,red,33,0.5,0,0,0,0,0,0,0,0,0.5,0,0.75,0.375,0,0,0,0,0,,,,
ples,red,34,0,0,0,0,0,0,0,0,0,0.875,0,0.125,0.5,0,0.125,0,0,0,,,,
hodnik,red,31,0,0,0.375,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,,,,
hodnik,red,32,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,,,,
hodnik,red,33,0,0,0.625,0,0,0,0,0.375,0,0,0.125,0,0,0,0,0,0,0.25,,,,
hodnik,red,34,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,,,,
restavracija,red,31,0.875,0,0,0,0,0,0.25,0,0,0,0,0.375,0,0,0,0,0.125,0,,,,
restavracija,red,32,0.625,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,,,,
restavracija,red,33,0.875,0,0,0.125,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,,,,
restavracija,red,34,0.25,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,,,,
ples,green,41,0.5,0,0.5,0,0,0,0,0.5,0,0.75,0.75,0.5,0,0,0.25,0,0.25,0,J,N,7,/
ples,green,42,0.375,0,0.75,0,0,0,0,0.125,0,0.375,0.25,0.5,0.5,0,0,0,0,0,N,N,6,/
ples,green,43,0,0,0.375,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,3,/
ples,green,44,0.75,0,0,0,0,0,0,0,0,0.875,0.5,0.625,0.875,0.25,0.25,0,0,0,N,N,6,
hodnik,green,41,0.125,0.625,0.375,0.75,0,0.25,0,0,0.25,0.125,0.5,0,0,0,0.25,0,0.5,0.5,N,N,1,/
hodnik,green,42,0,0,0.875,0.125,0,0,0,0.875,0,0,0.25,0,0,0,0,0,0,0,N,N,2,
hodnik,green,43,0,0,0.75,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,N,N,2,/
hodnik,green,44,0.25,0,0.625,0,0,0,0,0.875,0,0.25,0.5,0,0,0,0,0,0.25,0,N,N,4,
restavracija,green,41,0.25,0.5,0.375,0,0,0,0.375,0.375,0.5,0,0.25,0,0,0,0.5,0.25,0.375,0.375,N,N,3,/
