klip,original method,šifra,emotion_error
ples,yellow,11,0.07657
ples,yellow,12,0.07657
ples,yellow,13,0.096206
ples,yellow,14,0.070955
ples,yellow,15,0.117886
hodnik,yellow,11,0.118794
hodnik,yellow,12,0.065729
hodnik,yellow,13,0.081153
hodnik,yellow,14,0.298979
hodnik,yellow,15,0.077789
restavracija,yellow,11,0.182805
restavracija,yellow,12,0.048241
restavracija,yellow,13,0.097073
restavracija,yellow,14,0.063665
restavracija,yellow,15,0.060302
ples,blue,21,0.090678
ples,blue,22,0.076313
ples,blue,23,0.184334
ples,blue,24,0.123744
ples,blue,25,0.071394
hodnik,blue,21,0.090986
hodnik,blue,22,0.057698
hodnik,blue,23,0.193232
hodnik,blue,24,0.09358
hodnik,blue,25,0.061479
restavracija,blue,21,0.03842
restavracija,blue,22,0.011818
restavracija,blue,23,0.235116
restavracija,blue,24,0.146354
restavracija,blue,25,0.02657
ples,red,31,0.085499
ples,red,32,0.089212
ples,red,33,0.079576
ples,red,34,0.021781
hodnik,red,31,0.087312
hodnik,red,32,0.068555
hodnik,red,33,0.05767
hodnik,red,34,0.06858
restavracija,red,31,0.014856
restavracija,red,32,0.010804
restavracija,red,33,0.01028
restavracija,red,34,0.036181
ples,green,41,0.098568
ples,green,42,0.115264
ples,green,43,0.088819
ples,green,44,0.130418
hodnik,green,41,0.158492
hodnik,green,42,0.059761
hodnik,green,43,0.066379
hodnik,green,44,0.049243
restavracija,green,41,0.118247
restavracija,green,42,0.112651
restavracija,green,43,0.023514
restavracija,green,44,0.116426
