klip,original method,šifra,emotion_error
ples,yellow,11,0.25
ples,yellow,12,0.25
ples,yellow,13,0.306186
ples,yellow,14,0.235702
ples,yellow,15,0.362045
hodnik,yellow,11,0.320048
hodnik,yellow,12,0.235702
hodnik,yellow,13,0.284129
hodnik,yellow,14,0.51116
hodnik,yellow,15,0.273227
restavracija,yellow,11,0.385276
restavracija,yellow,12,0.235702
restavracija,yellow,13,0.333333
restavracija,yellow,14,0.284129
restavracija,yellow,15,0.273227
ples,blue,21,0.288675
ples,blue,22,0.260208
ples,blue,23,0.441942
ples,blue,24,0.339781
ples,blue,25,0.25
hodnik,blue,21,0.287168
hodnik,blue,22,0.222439
hodnik,blue,23,0.45453
hodnik,blue,24,0.29756
hodnik,blue,25,0.230112
restavracija,blue,21,0.199826
restavracija,blue,22,0.125
restavracija,blue,23,0.489473
restavracija,blue,24,0.395285
restavracija,blue,25,0.179215
ples,red,31,0.263523
ples,red,32,0.265165
ples,red,33,0.258535
ples,red,34,0.128425
hodnik,red,31,0.277951
hodnik,red,32,0.241163
hodnik,red,33,0.218502
hodnik,red,34,0.242956
restavracija,red,31,0.114109
restavracija,red,32,0.10623
restavracija,red,33,0.097717
restavracija,red,34,0.197642
ples,green,41,0.311805
ples,green,42,0.304765
ples,green,43,0.277951
ples,green,44,0.342327
hodnik,green,41,0.412479
hodnik,green,42,0.218502
hodnik,green,43,0.230112
hodnik,green,44,0.216506
restavracija,green,41,0.344853
restavracija,green,42,0.31041
restavracija,green,43,0.199826
restavracija,green,44,0.353553
