klip,original method,šifra,emotion_error
ples,yellow,11,0.276713
ples,yellow,12,0.276713
ples,yellow,13,0.310171
ples,yellow,14,0.266373
ples,yellow,15,0.343346
hodnik,yellow,11,0.344665
hodnik,yellow,12,0.256376
hodnik,yellow,13,0.284873
hodnik,yellow,14,0.54679
hodnik,yellow,15,0.278907
restavracija,yellow,11,0.427557
restavracija,yellow,12,0.219639
restavracija,yellow,13,0.311565
restavracija,yellow,14,0.25232
restavracija,yellow,15,0.245564
ples,blue,21,0.301129
ples,blue,22,0.276248
ples,blue,23,0.429342
ples,blue,24,0.351772
ples,blue,25,0.267197
hodnik,blue,21,0.301639
hodnik,blue,22,0.240204
hodnik,blue,23,0.439581
hodnik,blue,24,0.305909
hodnik,blue,25,0.24795
restavracija,blue,21,0.196011
restavracija,blue,22,0.108713
restavracija,blue,23,0.484888
restavracija,blue,24,0.382562
restavracija,blue,25,0.163004
ples,red,31,0.292403
ples,red,32,0.298683
ples,red,33,0.282092
ples,red,34,0.147583
hodnik,red,31,0.295485
hodnik,red,32,0.261831
hodnik,red,33,0.240145
hodnik,red,34,0.261879
restavracija,red,31,0.121883
restavracija,red,32,0.103942
restavracija,red,33,0.101388
restavracija,red,34,0.190213
ples,green,41,0.313955
ples,green,42,0.339505
ples,green,43,0.298025
ples,green,44,0.361134
hodnik,green,41,0.398111
hodnik,green,42,0.244461
hodnik,green,43,0.257641
hodnik,green,44,0.221908
restavracija,green,41,0.343871
restavracija,green,42,0.335635
restavracija,green,43,0.153344
restavracija,green,44,0.341212
