GL čustvo    , Prevod      , Valenca, Vzburjenje
amusement    , zabavnost   ,    7.4 ,       6.07
anger        , jeza        ,    1.93,       8.27
anxiety      , tesnoba     ,    1.4 ,       7.27
confusion    , zmeda       ,    3.47,       3.87
contempt     , prezir      ,    3.33,       4.13
disgust      , gnus        ,    2   ,       5.07
embarrassment, zadrega     ,    1.8 ,       6.53
fear         , strah       ,    1.73,       8.27
guilt        , krivda      ,    1.53,       5.47
happiness    , sreča       ,    8.53,       6.53
interest     , zanimanje   ,    7.27,       5.4
joy          , veselje     ,    8.47,       7.47
love         , ljubezen    ,    8.73,       7.27
pride        , ponos       ,    7.2 ,       5.47
sadness      , žalost      ,    2.33,       5.2
shame        , krivda      ,    1.6 ,       5.87
surprise     , presenečenje,    5.87,       7.67
unhappiness  , nesreča     ,    2.6 ,       3.87
