klip,original method,šifra,valenca,vzburjenje
ples,yellow,11,7,3
ples,yellow,12,7,3
ples,yellow,13,7,4
ples,yellow,14,6,2
ples,yellow,15,7,5
hodnik,yellow,11,3,7
hodnik,yellow,12,5,1
hodnik,yellow,13,5,3
hodnik,yellow,14,2,6
hodnik,yellow,15,4,2
restavracija,yellow,11,9,7
restavracija,yellow,12,6,1
restavracija,yellow,13,4,6
restavracija,yellow,14,5,3
restavracija,yellow,15,4,2
ples,blue,21,5,6
ples,blue,22,6,7
ples,blue,23,3,6
ples,blue,24,6,6
ples,blue,25,7,6
hodnik,blue,21,1,6
hodnik,blue,22,1,7
hodnik,blue,23,5,6
hodnik,blue,24,1,6
hodnik,blue,25,1,7
restavracija,blue,21,3,6
restavracija,blue,22,4,6
restavracija,blue,23,5,6
restavracija,blue,24,6,6
restavracija,blue,25,3,5
ples,red,31,4,5
ples,red,32,6,3
ples,red,33,8,4
ples,red,34,8,6
hodnik,red,31,5,6
hodnik,red,32,4,1
hodnik,red,33,1,7
hodnik,red,34,5,2
restavracija,red,31,7,7
restavracija,red,32,6,5
restavracija,red,33,6,6
restavracija,red,34,3,2
ples,green,41,7,3
ples,green,42,6,7
ples,green,43,3,3
ples,green,44,7,5
hodnik,green,41,2,7
hodnik,green,42,2,6
hodnik,green,43,2,6
hodnik,green,44,3,5
restavracija,green,41,4,7
restavracija,green,42,9,6
restavracija,green,43,7,5
restavracija,green,44,4,3
